
"8869","Mini-DVI zu VGA Adapter","\N","\N","95","f","0895","81","\N","2008","25"
"9481","Mini-DVI zu VGA  Adapter ","Mini-DVI zu VGA Adapter","\N","95","f","1545","81","\N","2012","30"
"9482","Mini-DVI zu VGA  Adapter ","Mini-DVI zu VGA Adapter","\N","95","f","1544","81","\N","2012","30"
"8841","BenQ MP523","BenQ MP523, DLP Beamer, 2000 Ansi Lumen, Kontrast 1600:1, XGA, VGA input, 1001h am 20.09.2012,","Netzkabel, VGA-Kabel, Quickstart-Guide, Fernbedienung","95","t","0167","41","PDP4900776001","2009","600"
"9448","Airport Extreme","Airport Extreme, MN:A1143, A-ID:00:1E:52:7B:E5:DC, E-ID: 00:1F:5B:01:47:0C, ","Netzteil","95","f","1515","59","6F81022CYEW","2008","230"
"8647","CANON HF10 HD ","Digitale HD-Videokamera, 12xoptischer Zoom, 1/3,2ZollCMOS, 3.3Megapix, 16GB Flash-Speicher Kamera ","Netzteil, USB-kabel, AV-Kabel, (Software im Lager), Mikrofon 0799","95","f","1354","65","763642202677","2008","1200"
"9118","Panasonic PT-FW300E (Mobile)","LCD-Beamer Panasonic PT-FW300E, 3500 Ansi, Aufloesung WXGA, Kontrast 600:1, 283h/26.09.2012","Netzkabel, Manual, Remote, VGA/DVI-Kabel,","95","f","0278","41","SC0520125","2010","3000"
"9443","Apple USB-Tastatur","Apple USB-Tastatur, ","\N","122","t","0960","72","KY52403VCQBB","2005","\N"
"9318","Samsung SyncMaster P2450","24"" LED Monitor 1080p Full HD, VGA, DVI, HDMI,","Stromkabel, VGA-Kabel,","95","f","1159","80","003H9MZA00431V","2011","380"
"9333","mitsubishi wd500u","DLP, 2100 Ansi Lumen, WXGA, SXGA, kein Zoom, Kurzdistanz-Beamer (0.549:1) Motocokiste","Fernbedienung, Stromkabel, VGA-Kabel","134","t","1238","41","\N","2008","\N"
