"8708","MB  (Catherine)","MB5.1/ 2,0GHz ICD/ 4GB/160GB/SD","Airport Extreme, Tasche, AppleCare3Jahre","120","f","1417","77","W8843YA1AQ","2008","1800"
"8755","MB (Ralf Neubauer)","2.0GHz,IntelCore2Duo,2GB667 DDR2/SDRAM,120GB-Festtplatte,Superdrive8x","Fernbedienung, Netzteil SNr RR905041525UA","95","f","0977","77","W89071HB43R","2009","1300"
"8427","Apple optical Mouse","Apple optical Mouse USB mit scroll/zu iMacInvNr:1092","\N","145","f","1157","72","\N","2006","ca 50,-"
"7379","iSight","Firewire autofocus video camera + microphone, 1/4 CCD Bildsensor 640/480 Pix","FW-Kabel, Tasche, Halterung","95","t","0297","67","W93305N0MZL","2003","\N"
"7814","Stichsaege","Bosch Stichsaege"," Sicherheits-Set","132","f","0649","76","\N","2004","\N"
"8579","ext HD LaCie 320GB","Ext. Harddrive, 320 GB, FW800, FW400, USB2","USB-Kabel, FW-Kabel6/6","95","f","1303","52","122480212443987QR","2008","240"
"8020","Shuttle (Fraese)","Shuttle, 3.2GHz, 1GB RAM, 80GB HD, WLAN, 128MB Geforce GK, COMBO,","xp","153","f","0817","50","0817","2005","1500"
"8661","Shuttle XPC","Shuttle XPC ModNr SB51G, Pentium4/2GB/80GB/3GHz/ComboRW/Floppy","WIN XP SP3, Grafikkarte ATI Radeon 8500DV, ","95","f","1359","50","B51G00311D03514","2005","\N"
"8888","Shuttle","Shuttle X, zu Lasercutter 0814","WIN XP, Illustrator10","127","f","0818","50","N4102204GA3THO","2004","\N"
"8890","Dell 17","Dell 17""","Stromkabel","127","f","0820","58","\N","2006","\N"
"7805","USB-Maus ","Microsoft USB-Maus mit Scrollrad, zu Lasercutter 0814","\N","127","f","0672","72","\N","2004","\N"
"8891","Dell Tastatur","zu Lasercutter 0814","\N","127","f","0821","72","\N","2006","\N"
"8892","Entfernungsmesser DLE 70","Digitaler Laser-Entfernungsmesser, max. Distanz 70 m","Guerteltasche, Manual","95","t","0760","76","988190239","2009","260"
"8446","500 GB LaCie HD FW+(Martin)","LaCie Hard Drive, FireWire400 mit ext. Netzteil, 500 GB","Netzteil, FW-Kabel, Manual (CD)","120","f","1172","52","SN: 1129704092242c5p","2007","230"
"7598","Sony DSR-PDX10P","3CCD DVCAM","Tasche, Micro Sony ECM-NV1+Kabel, Ladegeraet (0246), 3Akkus,USB-Kabel,  FireWire4/6-Kabel, AV-Kabel","95","t","0323","65","SN: 1211530","2002","\N"
"8897","SONY DVD/VHS Player RDR-VX420","DVD/VHS Recorder","Fernbedienung","95","t","0654","70","6021804","2009","350"
"8701","EPSON GT2000NPro","DIN-A-3 Scanner, ADF Duplex SCSI 2 / USB 2, Netzwerk;
2000x2400 dpi, IP: 10.194.194.241 Netzwerkname: BA14EP11015","Software, Dokumenteneinzug","144","f","1410","60","KGR0002713","2008","3500"
"8438","PROMAC Staubsauger","Leistungsstarker Industrie-Staubsauger. Beim nassaugen immer(!) den Patronenfilter und Staubbeutel rausnehmen!","Staubbeutel,Patronenfilter;div Aufsaetze","132","f","1167","76","\N","2007","350"
"8596","Strompruefer","Strompruefer","\N","95","f","1029","76","\N","2004","\N"
"8154","Guenter","Adapter PBG4 zu S-Video und Chinch","\N","95","f","0285","81","\N","2005","\N"
"7991","Minolta Autometer III","Belichtungsmesser","Tasche","95","t","0202","54","\N","2000","\N"
"7420","Dongle Logic Pro 7","Dongle Logic Pro 7","Logic Pro 7","95","t","0658","82","\N","2004","\N"
