"8702","d2 blue-ray","fuer Blu-ray-Aufzeichnung, BD (Blu-ray)/DVD/CD-Brenner USB2.0,FW400","Netzteil. USB-Kabel,FW-Kabel,Software,","95","t","1411","46","584100850","2008","800"
"8618","PC","\N","xp","95","f","1334","50","\N","2003","\N"
"8324","LaCie (martin schaffner)","LaCie hard drive 160GB  FireWire400","Netzteil,Stromkabel,FireWire6/6,Software","120","f","1065","52","1045610120086FR","2006","153,-"
"7809","IBM Flatscreen 19","\N","VGA-Kabel,","95","t","0052","80","\N","2000","\N"
"8745","LaCie HD (Backup)","2TB (2x1), USB 2.0, Backup - Wallace und Gromit 30.01.2009","Netzteil, USB-Kabel","95","f","0007","52","1278812030127QR","2009","290"
"8749","Netgear Dual speed Hub","8Port","Netzteil ","95","t","0061","59","\N","2000","\N"
"7490","HP 1925 flatscreen","19 Zoll Flachbildschirm mit Fuss, drehbar","Stromkabel, VGAkabel","95","t","0253","80","\N","2003","950.-"
"7808","Doepfer Pocket Control ","Midi Interface, b","Midikabel, Netzteil","95","f","0664","40","\N","2004","\N"
"7906","USB Tastatur Frank Fiezek","USB Tastatur mit 2 USB Ports","\N","112","t","0532","72","\N","2004","24.-"
"8752","JenCam F.Fiezek","\N","Netzteil","112","t","0110","67","\N","2005","\N"
"8434","LINKSYS 5-Port-Switch","5-Port-10/100/1000Gigabit-Switch","Netzteil","95","f","1163","59","RED30G101859","2007","125"
"8756","Kaiser Reproleuchte","Reproleuchte","2x 60 Watt Gluehbirnen matt","95","t","0116","54","\N","2007","\N"
"8556","Hama 700","Leichtes, kleines Fotostativ","Tasche","95","t","1280","61","\N","2008","30"
"7351","Sound Blaster Audigy External drive","Sound Blaster Audigy External drive, optical/Audio/MIDI/FireWire Soundinterface fuer Windows","Kabel","95","t","0877","40","TSB0110130022375","2004","\N"
"8758","Foehn","Heissluft-Foehn","div.Aufsaetze","95","t","1011","76","\N","2009","\N"
"8759","Allzweck-Schnippler","Allzweck-Schnippler","Blechbuechse, Ladegeraet","121","f","0014","76","\N","2009","60"
"7300","Apple Netzteil(PB 0357)","Apple Netzteil fuer PowerBook InvNr:0357","\N","95","f","0656","74","SN: EH348LT5Q2Z","2003","140"
"8374","USB WLAN Adapter","Linksys USB WLAN Adapter, WUSB54GC-EU, MAC-ID:0018F82C2AF4","USB-Kabel","121","f","1110","59","MLF00FA17522","2006","55"
"8593","Netgear 8Port GiGabit Switch","8Port Ethernet-Switch","Netzteil","95","t","1315","59","1DR18335013E1","2008","118"
"8613","U.S:Robotics","8-Port 10/100/1000 MbpsSwitch","Stromkabel","102","f","1330","59","\N","2003","\N"
"7931","3Com dual speed Switch","\N","Netzteil ","118","f","0135","59","\N","2000","\N"
"8581","LINKYS","5-Port 10/100/100 Gigabit Switch","Netzteil","95","f","1305","59","\N","2006","\N"
"8564","Airport Express","Model No.A1088","Stecker,Manual","95","f","1290","59","6F74301RU4T","2007","\N"
"8574","LaCie d2 HD 320GB","Ext. Harddrive, 320 GB, FW800, FW400, USB2,","USB-Kabel,FW400-Kabel6/6,Software","95","f","1298","52","1224802124433QR","2008","240"
"7536","Canon MVX3i","Digital Video Camcorder, 2 MP, PAL","Netzteil, USB-Kabel, 3 Akkus, FW-Kabel(4:6)AV-Kabel, 1 GB SDC","95","t","0749","65","SN: 214870300352","2004","1365"
"7988","Brother P-Touch 2420PC","Elektronisches Beschriftungsystem","USB-Kabel, Netzteil, Software, Manaul, Verbrauchsware","121","f","0051","45","\N","2000","\N"
"7758","3M MP8775  ","Fluessigkristallprojektor,NTSC/PAL/SECAM-Videobilder, XGA, 3200 Ansi Lumen","Netzkabel, VGA-Kabel, Fernbedienung (fehlt), Manual im Lager, ","95","t","0001","41","SN: G1K000688","2000","sehr viel"
"7846","Daewoo","DQD2100D, fest in Kursraum installiert","Fernbedienung","128","f","0099","46","\N","2000","\N"
"8766","eRoom","E-Room","\N","95","f","1271","79","\N","2008","\N"
"8501","Logitech Optical Mouse","USB Maus, 2 Tasten, Scrollrad","\N","95","f","0437","72","\N","2003","\N"
"8190","Schluessel Senones","Senones Wohnung Reservierungen muessen vom Leitungsteam bestaetigt werden","Tel.: 0033329579259. Ende Aufenthalt aufraeumen, staubsaugen, Abwasch, Eisschrank leeren, Bettwaesche und Handtuecher gefaltet in Waeschekisten und Frau Charton 0033329576660 wegen Endreinigung.","95","t","0117","79","\N","2006","\N"
"8748","LINKYS","8-Port Hub","Netzteil","95","t","0104","59","\N","2006","\N"
